epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2058.37,0.53385,0.55203,1.15786,0.97477,0.98481,0.98041,0.85233,0.61643,0.3384,1.28655,0.000536644,0.000536644,0.000536644
43,2108.16,0.5346,0.54802,1.16289,0.96441,0.98693,0.97541,0.81766,0.71383,0.36146,1.41021,0.00051488,0.00051488,0.00051488
44,2158.47,0.51782,0.53037,1.15024,0.9791,0.98577,0.98176,0.87051,0.59235,0.31253,1.26584,0.000493115,0.000493115,0.000493115
45,2208.33,0.51324,0.53658,1.14732,0.96472,0.98236,0.97996,0.85124,0.62956,0.34355,1.32174,0.00047135,0.00047135,0.00047135
46,2256.92,0.50524,0.51754,1.14131,0.97827,0.97076,0.97936,0.85201,0.61236,0.34863,1.27852,0.000449585,0.000449585,0.000449585
47,2306.9,0.51,0.52108,1.14163,0.98053,0.97566,0.9788,0.85212,0.62619,0.3359,1.30526,0.000427821,0.000427821,0.000427821
48,2354.84,0.501,0.51556,1.13562,0.98053,0.98078,0.98499,0.84798,0.65769,0.34742,1.34434,0.000406056,0.000406056,0.000406056
49,2401.94,0.48907,0.50691,1.13002,0.95988,0.98008,0.97945,0.84854,0.64542,0.36136,1.32839,0.000384291,0.000384291,0.000384291
50,2449.4,0.48662,0.49535,1.12931,0.97534,0.97801,0.97887,0.84686,0.64427,0.34406,1.34916,0.000362526,0.000362526,0.000362526
51,2497.62,0.48982,0.5007,1.12707,0.97954,0.96237,0.97803,0.87026,0.58331,0.33879,1.2688,0.000340762,0.000340762,0.000340762
52,2544.81,0.48004,0.48454,1.12265,0.98186,0.97249,0.98038,0.85093,0.65685,0.34782,1.34912,0.000318997,0.000318997,0.000318997
53,2592.53,0.47214,0.4896,1.11947,0.96785,0.9684,0.98027,0.84078,0.67711,0.36515,1.38651,0.000297232,0.000297232,0.000297232
54,2641.46,0.47342,0.48582,1.12197,0.97782,0.96487,0.98028,0.84852,0.62779,0.34699,1.32022,0.000275467,0.000275467,0.000275467
55,2690.93,0.4607,0.46991,1.10581,0.98486,0.96546,0.98364,0.86089,0.61597,0.33124,1.30714,0.000253702,0.000253702,0.000253702
56,2752.1,0.32444,0.20434,1.11915,0.95924,0.97485,0.97648,0.86279,0.56995,0.33774,1.2418,0.000231938,0.000231938,0.000231938
57,2800.87,0.31033,0.19,1.09495,0.97035,0.97717,0.98151,0.86383,0.60978,0.33631,1.29203,0.000210173,0.000210173,0.000210173
58,2848.23,0.30246,0.18586,1.09583,0.98074,0.97916,0.97972,0.8777,0.56873,0.32169,1.24243,0.000188408,0.000188408,0.000188408
59,2896.24,0.29903,0.18127,1.08375,0.97612,0.98484,0.98021,0.88155,0.56041,0.31787,1.2371,0.000166643,0.000166643,0.000166643
60,2945.47,0.28114,0.17283,1.07188,0.97923,0.97629,0.98219,0.8738,0.59586,0.32931,1.2926,0.000144879,0.000144879,0.000144879
61,2992.94,0.28109,0.16873,1.06935,0.98335,0.98433,0.9827,0.87382,0.60259,0.32113,1.3065,0.000123114,0.000123114,0.000123114
62,3040.8,0.26925,0.16513,1.06068,0.97891,0.9824,0.98244,0.86939,0.61144,0.31819,1.31462,0.000101349,0.000101349,0.000101349
63,3087.93,0.26749,0.16085,1.05249,0.9812,0.97612,0.98405,0.86395,0.63261,0.32968,1.35165,7.95843e-05,7.95843e-05,7.95843e-05
64,3136.93,0.26368,0.16038,1.04708,0.98238,0.9766,0.98268,0.88135,0.56252,0.30482,1.24632,5.78195e-05,5.78195e-05,5.78195e-05
65,3183.75,0.25705,0.15793,1.043,0.98289,0.97629,0.98411,0.87843,0.58165,0.30979,1.27555,3.60548e-05,3.60548e-05,3.60548e-05
